    written, MiB/s:               12.70
    written, MiB/s:               12.76
    written, MiB/s:               13.33
    written, MiB/s:               13.82
    written, MiB/s:               13.13
    written, MiB/s:               13.21
    written, MiB/s:               12.39
    written, MiB/s:               12.64
    written, MiB/s:               12.38
    written, MiB/s:               10.58
    written, MiB/s:               11.09
    written, MiB/s:               12.16
    written, MiB/s:               12.55
    written, MiB/s:               13.13
    written, MiB/s:               13.02
    written, MiB/s:               13.18
    written, MiB/s:               12.90
    written, MiB/s:               13.23
    written, MiB/s:               12.03
    written, MiB/s:               12.94
    written, MiB/s:               13.35
    written, MiB/s:               10.78
    written, MiB/s:               13.20
    written, MiB/s:               13.14
    written, MiB/s:               13.19
    written, MiB/s:               13.29
    written, MiB/s:               13.80
    written, MiB/s:               12.32
    written, MiB/s:               12.89
    written, MiB/s:               12.96
