[ff.run] (2.217s) Application is ready, restore took 2.2
[ff.run] (0.919s) Application is ready, restore took 0.9
[ff.run] (1.024s) Application is ready, restore took 1.0
[ff.run] (1.475s) Application is ready, restore took 1.5
[ff.run] (0.769s) Application is ready, restore took 0.8
[ff.run] (1.191s) Application is ready, restore took 1.2
[ff.run] (1.251s) Application is ready, restore took 1.3
[ff.run] (1.287s) Application is ready, restore took 1.3
[ff.run] (0.860s) Application is ready, restore took 0.9
[ff.run] (1.009s) Application is ready, restore took 1.0
[ff.run] (0.753s) Application is ready, restore took 0.8
[ff.run] (0.704s) Application is ready, restore took 0.7
[ff.run] (1.072s) Application is ready, restore took 1.1
[ff.run] (1.202s) Application is ready, restore took 1.2
[ff.run] (0.628s) Application is ready, restore took 0.6
[ff.run] (0.956s) Application is ready, restore took 1.0
[ff.run] (1.255s) Application is ready, restore took 1.3
[ff.run] (1.230s) Application is ready, restore took 1.2
[ff.run] (1.052s) Application is ready, restore took 1.1
[ff.run] (1.243s) Application is ready, restore took 1.2
[ff.run] (1.222s) Application is ready, restore took 1.2
[ff.run] (1.139s) Application is ready, restore took 1.1
[ff.run] (0.601s) Application is ready, restore took 0.6
[ff.run] (1.191s) Application is ready, restore took 1.2
[ff.run] (1.317s) Application is ready, restore took 1.3
[ff.run] (1.020s) Application is ready, restore took 1.0
[ff.run] (0.942s) Application is ready, restore took 0.9
[ff.run] (1.257s) Application is ready, restore took 1.3
[ff.run] (1.299s) Application is ready, restore took 1.3
[ff.run] (1.143s) Application is ready, restore took 1.1
[ff.run] (1.084s) Application is ready, restore took 1.1
Average = 1.10968
