[ff.run] (2.310s) Application is ready, restore took 2.3
[ff.run] (2.260s) Application is ready, restore took 2.3
[ff.run] (2.216s) Application is ready, restore took 2.2
[ff.run] (2.102s) Application is ready, restore took 2.1
[ff.run] (2.305s) Application is ready, restore took 2.3
[ff.run] (1.799s) Application is ready, restore took 1.8
[ff.run] (1.872s) Application is ready, restore took 1.9
[ff.run] (2.230s) Application is ready, restore took 2.2
[ff.run] (2.353s) Application is ready, restore took 2.4
[ff.run] (2.272s) Application is ready, restore took 2.3
[ff.run] (2.044s) Application is ready, restore took 2.0
[ff.run] (2.306s) Application is ready, restore took 2.3
[ff.run] (1.935s) Application is ready, restore took 1.9
[ff.run] (2.342s) Application is ready, restore took 2.3
[ff.run] (2.516s) Application is ready, restore took 2.5
[ff.run] (2.122s) Application is ready, restore took 2.1
[ff.run] (2.087s) Application is ready, restore took 2.1
[ff.run] (1.882s) Application is ready, restore took 1.9
[ff.run] (1.891s) Application is ready, restore took 1.9
[ff.run] (2.061s) Application is ready, restore took 2.1
[ff.run] (1.933s) Application is ready, restore took 1.9
[ff.run] (2.009s) Application is ready, restore took 2.0
[ff.run] (1.685s) Application is ready, restore took 1.7
[ff.run] (2.396s) Application is ready, restore took 2.4
[ff.run] (2.118s) Application is ready, restore took 2.1
[ff.run] (1.982s) Application is ready, restore took 2.0
[ff.run] (1.456s) Application is ready, restore took 1.5
[ff.run] (2.078s) Application is ready, restore took 2.1
[ff.run] (1.411s) Application is ready, restore took 1.4
[ff.run] (1.530s) Application is ready, restore took 1.5
Average = 2.05
