    written, MiB/s:               14.33
    written, MiB/s:               14.01
    written, MiB/s:               14.38
    written, MiB/s:               13.93
    written, MiB/s:               13.89
    written, MiB/s:               13.21
    written, MiB/s:               13.39
    written, MiB/s:               12.14
    written, MiB/s:               9.28
    written, MiB/s:               11.26
    written, MiB/s:               13.01
    written, MiB/s:               13.19
    written, MiB/s:               12.96
    written, MiB/s:               13.08
    written, MiB/s:               13.23
    written, MiB/s:               13.15
    written, MiB/s:               11.29
    written, MiB/s:               11.39
    written, MiB/s:               12.69
    written, MiB/s:               12.64
    written, MiB/s:               13.08
    written, MiB/s:               12.75
    written, MiB/s:               13.20
    written, MiB/s:               13.20
    written, MiB/s:               12.89
    written, MiB/s:               11.58
    written, MiB/s:               11.29
    written, MiB/s:               11.46
    written, MiB/s:               12.96
    written, MiB/s:               13.40
