    read, MiB/s:                  21.50
    read, MiB/s:                  21.02
    read, MiB/s:                  21.58
    read, MiB/s:                  20.90
    read, MiB/s:                  20.83
    read, MiB/s:                  19.82
    read, MiB/s:                  20.09
    read, MiB/s:                  18.21
    read, MiB/s:                  13.93
    read, MiB/s:                  16.90
    read, MiB/s:                  19.52
    read, MiB/s:                  19.79
    read, MiB/s:                  19.43
    read, MiB/s:                  19.62
    read, MiB/s:                  19.85
    read, MiB/s:                  19.73
    read, MiB/s:                  16.94
    read, MiB/s:                  17.09
    read, MiB/s:                  19.03
    read, MiB/s:                  18.97
    read, MiB/s:                  19.61
    read, MiB/s:                  19.12
    read, MiB/s:                  19.80
    read, MiB/s:                  19.79
    read, MiB/s:                  19.33
    read, MiB/s:                  17.37
    read, MiB/s:                  16.94
    read, MiB/s:                  17.19
    read, MiB/s:                  19.44
    read, MiB/s:                  20.09
