    read, MiB/s:                  19.42
    read, MiB/s:                  19.42
    read, MiB/s:                  19.51
    read, MiB/s:                  18.96
    read, MiB/s:                  19.35
    read, MiB/s:                  19.89
    read, MiB/s:                  19.62
    read, MiB/s:                  19.13
    read, MiB/s:                  15.37
    read, MiB/s:                  16.71
    read, MiB/s:                  16.52
    read, MiB/s:                  18.02
    read, MiB/s:                  18.95
    read, MiB/s:                  19.71
    read, MiB/s:                  20.17
    read, MiB/s:                  19.79
    read, MiB/s:                  19.25
    read, MiB/s:                  15.21
    read, MiB/s:                  19.98
    read, MiB/s:                  16.07
    read, MiB/s:                  16.06
    read, MiB/s:                  17.27
    read, MiB/s:                  17.28
    read, MiB/s:                  19.80
    read, MiB/s:                  20.17
    read, MiB/s:                  19.61
    read, MiB/s:                  19.89
    read, MiB/s:                  18.60
    read, MiB/s:                  19.14
    read, MiB/s:                  20.00
